checked_in_on,accession
5/9/2012 11:24:02,3000143
4/26/2012 14:48:24,18991018
4/30/2012 11:22:13,18991273
5/3/2012 14:52:05,18991356
5/1/2012 9:00:22,18991497
5/9/2012 14:50:26,18991505
5/10/2012 14:51:13,18991513
5/9/2012 14:53:25,18992834
4/30/2012 11:17:07,18993295
4/30/2012 11:17:14,18993295
5/4/2012 14:51:13,18993675
5/9/2012 14:51:06,18993923
5/4/2012 14:50:49,18995217
5/1/2012 13:10:35,18996165
5/1/2012 9:00:22,18996405
5/1/2012 8:44:08,18999532
4/30/2012 11:22:31,18999557
5/9/2012 14:53:25,18999763
4/25/2012 14:53:41,19000355
5/2/2012 14:56:29,19001155
5/1/2012 13:11:50,19003383
5/9/2012 14:54:01,19872647
5/9/2012 14:55:09,19872712
5/2/2012 14:52:58,19872795
5/2/2012 14:52:58,19872795
5/2/2012 14:51:21,19872886
5/2/2012 14:50:25,19873231
4/30/2012 11:22:31,19873363
5/2/2012 14:50:00,19873488
4/30/2012 11:23:55,19873520
5/3/2012 11:53:21,19873751
5/3/2012 14:50:33,19874056
5/1/2012 13:14:18,19875186
5/9/2012 14:49:01,19875558
5/2/2012 14:55:49,19875574
5/2/2012 14:54:57,19876184
5/2/2012 14:54:57,19876341
5/9/2012 14:53:01,19876598
5/3/2012 11:53:21,19877364
4/25/2012 14:51:58,19878420
5/9/2012 14:55:46,19878792
5/3/2012 14:49:41,19879139
4/25/2012 14:51:58,19879212
5/2/2012 14:54:18,19880251
5/3/2012 14:49:15,19880269
5/2/2012 14:50:50,19880343
5/3/2012 14:49:41,19880715
5/3/2012 14:50:08,19880772
5/11/2012 10:05:10,19880772
5/9/2012 14:49:01,19880798
5/9/2012 14:49:59,19880889
5/11/2012 10:05:10,19880897
5/9/2012 14:48:34,19881002
5/8/2012 14:56:03,19882364
5/9/2012 14:48:34,19882380
5/3/2012 14:52:40,19883727
5/3/2012 14:49:15,19883883
5/2/2012 14:54:18,19884261
5/2/2012 14:49:28,19886530
4/25/2012 14:52:33,19886787
5/9/2012 14:53:49,19886811
5/4/2012 14:52:36,19887273
5/2/2012 14:49:28,19887413
4/25/2012 14:50:54,19887421
4/25/2012 14:51:30,19887587
5/10/2012 14:49:44,19888049
4/26/2012 14:48:24,19889070
5/1/2012 14:52:40,19889575
5/9/2012 14:51:23,19889948
5/8/2012 14:56:23,20831277
5/9/2012 14:52:12,20831319
5/9/2012 14:56:10,20832135
5/9/2012 14:56:41,20832143
4/30/2012 11:24:16,22217079
5/1/2012 13:11:50,22217293
5/9/2012 14:52:38,22218218
5/2/2012 14:54:18,22218226
5/2/2012 14:53:29,22218234
5/2/2012 14:50:50,22218499
5/3/2012 14:48:44,22218754
4/30/2012 14:12:59,22219091
4/30/2012 14:47:43,22219448
4/25/2012 14:52:53,22221436
5/9/2012 14:49:21,22222046
5/9/2012 14:55:09,22222384
5/9/2012 14:53:01,22222459
5/9/2012 14:53:01,22222459
5/2/2012 14:54:57,22222608
5/9/2012 14:55:46,22222723
5/9/2012 14:52:38,22222806
5/9/2012 14:49:21,22222889
5/2/2012 14:51:21,22222962
5/9/2012 14:49:01,22223044
4/30/2012 11:22:13,22223382
5/1/2012 9:00:22,22224711
5/9/2012 14:48:34,22224745
4/26/2012 14:44:45,22225502
5/9/2012 14:52:38,22226583
4/26/2012 14:50:42,22229389
4/30/2012 14:47:09,22230551
4/30/2012 14:47:09,22230551
5/3/2012 14:50:33,22231237
5/4/2012 14:52:08,22231609
5/1/2012 8:54:13,22232011
5/1/2012 13:11:50,22232029
5/11/2012 11:38:43,22234231
5/11/2012 11:39:03,22234231
5/11/2012 11:39:03,22234231
4/30/2012 11:21:31,22235030
5/10/2012 14:50:14,22236038
5/9/2012 14:50:26,30000673
5/1/2012 8:53:30,30001572
4/26/2012 14:44:45,30002232
5/9/2012 14:53:25,30002455
5/9/2012 14:56:10,30002943
5/9/2012 14:56:10,30004360
5/11/2012 10:04:32,30005011
5/9/2012 14:49:59,30005037
5/9/2012 14:49:59,30008395
5/9/2012 14:49:59,30008700
5/2/2012 14:51:21,30009237
4/25/2012 14:54:23,30009401
5/9/2012 14:56:10,30009963
5/2/2012 14:56:29,30010334
5/9/2012 14:54:01,30010391
5/8/2012 14:57:43,30010573
5/8/2012 14:57:43,30010573
4/25/2012 14:53:41,30010698
5/3/2012 14:51:15,30010854
5/3/2012 14:52:05,30011035
5/3/2012 14:51:15,30011175
5/3/2012 14:50:08,30011274
4/30/2012 11:24:16,30011316
4/30/2012 11:23:55,30011316
4/26/2012 14:45:11,30011332
4/25/2012 14:52:53,30011712
5/9/2012 14:56:41,30012215
5/4/2012 14:52:56,30012421
5/4/2012 14:52:57,30012421
5/2/2012 14:51:21,30012645
5/9/2012 14:51:23,30013171
5/2/2012 14:55:22,30013247
5/1/2012 8:54:43,30013544
4/30/2012 11:18:00,30013817
