Timestamp,Library Card Number,Accession Number
1/11/2012 14:26:28,33,30127310
1/10/2012 13:50:16,70,30069868
1/11/2012 14:25:40,145,30120950
1/11/2012 14:26:02,145,30132070
10/18/2011 15:00:03,90000019,30026686
10/18/2011 14:24:57,90000878,18994475
12/5/2011 14:34:36,90001876,30125983
10/11/2011 14:18:43,90002486,30069736
10/11/2011 14:19:27,90002486,30121800
10/20/2011 14:53:58,90002841,30011035
2/16/2012 15:40:38,   0219,20830410
3/8/2012 12:10:06,  0046,30084719
2/16/2012 14:27:10, 0104,30126031
2/27/2012 13:42:27, 0112,30137053
2/17/2012 16:46:59, 0186,30105787
3/5/2012 16:16:11, 0197,30131841
2/6/2012 12:48:42, 0201,30111348
2/9/2012 12:03:52, 0203,30121305
2/24/2012 14:51:23,0174,30010573
3/5/2012 14:06:45,0001,22221337
2/28/2012 12:54:57,0001,30001457
3/5/2012 14:07:32,0001,30007835
3/5/2012 14:07:24,0001,30019848
1/30/2012 14:07:03,0001,30105860
2/6/2012 14:03:45,0001,30115232
3/5/2012 14:06:55,0001,30125819
3/5/2012 14:06:37,0001,30138622
3/5/2012 14:07:08,0001,30019848
2/10/2012 13:34:48,0002,22227128
2/21/2012 14:05:30,0002,30046973
2/10/2012 13:35:29,0002,30049704
1/31/2012 13:55:31,0002,30065833
4/2/2012 10:03:34,0002,30067854
1/31/2012 13:55:59,0002,30080659
2/7/2012 14:01:27,0002,30109656
2/28/2012 14:04:52,0002,30110464
2/28/2012 14:06:00,0002,30110464
2/28/2012 14:06:08,0002,30124515
4/2/2012 10:26:29,0002,30125876
2/7/2012 12:51:29,0002,30128417
4/2/2012 10:30:01,0002,30129076
2/14/2012 13:48:32,0002,30129290
3/1/2012 11:23:05,0002,30129449
2/21/2012 14:05:07,0002,30129605
1/24/2012 13:43:24,0002,30129902
4/2/2012 9:52:18,0002,30130082
4/2/2012 9:52:03,0002,30131072
4/2/2012 9:52:30,0002,30131072
2/14/2012 14:09:40,0002,30133326
1/24/2012 13:42:46,0002,30137376
2/7/2012 14:00:53,0002,30137525
1/30/2012 14:05:37,0003,30050108
2/21/2012 14:03:00,0003,30077630
2/6/2012 13:42:08,0003,30085807
2/27/2012 14:07:10,0003,30132591
2/7/2012 13:46:09,0004,18999425
2/21/2012 14:06:17,0004,19005149
2/21/2012 14:06:07,0004,30046890
1/24/2012 14:00:01,0004,30056758
3/13/2012 12:54:51,0004,30070114
1/24/2012 14:00:14,0004,30088678
1/31/2012 14:01:39,0004,30109326
1/31/2012 14:01:23,0004,30110100
2/7/2012 13:46:31,0004,30115562
3/13/2012 12:54:34,0004,30118624
2/8/2012 13:54:25,0005,18998401
2/15/2012 13:59:51,0005,18999474
2/15/2012 13:50:56,0005,20831939
1/25/2012 13:57:13,0005,22235758
2/8/2012 13:59:30,0005,22236145
2/8/2012 13:54:42,0005,22236269
2/22/2012 13:48:58,0005,30033971
2/15/2012 13:48:05,0005,30046395
2/15/2012 13:49:49,0005,30046395
1/25/2012 13:49:24,0005,30062152
2/8/2012 13:55:25,0005,30077176
2/15/2012 13:50:09,0005,30088033
3/7/2012 14:03:10,0005,30091656
3/7/2012 14:03:44,0005,30091656
3/7/2012 14:03:34,0005,30108658
3/7/2012 14:04:17,0005,30123442
2/29/2012 13:40:25,0005,30125884
2/29/2012 13:40:42,0005,30128953
2/29/2012 13:40:03,0005,30129019
2/29/2012 13:41:38,0005,30129076
2/29/2012 14:00:18,0006,30008049
2/28/2012 14:07:19,0006,30023824
2/21/2012 14:04:42,0006,30050496
1/31/2012 13:57:03,0006,30070239
2/21/2012 13:42:30,0006,30093652
1/24/2012 13:56:28,0006,30097125
2/14/2012 13:49:57,0006,30127245
2/7/2012 13:47:56,0006,30129886
1/24/2012 13:56:14,0006,30135297
1/31/2012 13:48:50,0006,30136469
2/28/2012 14:07:11,0006,30136501
2/2/2012 12:13:02,0007,22232219
2/23/2012 12:12:01,0007,30015572
2/23/2012 12:15:51,0007,30078679
2/9/2012 12:11:02,0007,30084453
2/2/2012 12:07:55,0007,30122998
1/26/2012 12:09:58,0008,22230767
1/26/2012 12:15:30,0008,30010391
3/8/2012 12:21:49,0008,30026702
2/16/2012 12:11:58,0008,30037378
1/26/2012 12:18:50,0008,30056824
3/8/2012 12:15:01,0008,30073845
2/2/2012 12:07:05,0008,30080089
2/16/2012 12:07:17,0008,30097638
2/23/2012 12:12:18,0008,30097661
3/8/2012 12:15:22,0008,30121925
1/26/2012 12:21:17,0009,19876317
3/8/2012 12:20:13,0009,22216279
3/8/2012 12:20:34,0009,22220909
2/2/2012 12:18:29,0009,30095574
1/26/2012 12:21:40,0009,30126304
2/23/2012 12:18:52,0009,30128441
2/1/2012 11:35:36,0009,30136840
3/8/2012 12:22:42,0010,30053334
3/15/2012 11:13:39,0010,30109664
1/19/2012 12:11:53,0010,30133193
2/16/2012 12:09:10,0011,30038426
3/15/2012 11:11:27,0011,30047955
2/16/2012 12:10:29,0011,30093314
2/23/2012 12:18:04,0011,30118228
2/9/2012 12:18:01,0011,30124036
1/26/2012 12:23:55,0011,30129134
2/16/2012 12:05:03,0011,30130348
2/9/2012 12:16:55,0012,30083224
3/8/2012 12:15:39,0012,30124119
1/26/2012 12:19:50,0012,30129605
3/16/2012 14:03:09,0013,19879329
3/2/2012 15:13:02,0013,30009179
3/16/2012 14:15:00,0013,30012066
3/2/2012 15:12:46,0013,30029318
2/17/2012 15:10:41,0013,30035422
2/22/2012 14:00:18,0013,30086201
1/13/2012 15:47:10,0013,30091698
2/10/2012 15:19:29,0013,30094593
3/16/2012 14:03:33,0013,30095988
2/3/2012 15:11:32,0013,30112262
2/22/2012 14:06:42,0013,30130629
3/16/2012 14:03:24,0013,30131031
2/3/2012 15:09:23,0013,30131460
2/10/2012 14:20:14,0014,30077689
2/10/2012 14:19:54,0014,30078216
2/17/2012 15:23:34,0014,30078273
1/25/2012 13:39:55,0014,30091664
1/27/2012 15:23:15,0014,30133532
2/17/2012 15:19:20,0015,19886514
3/15/2012 12:48:32,0015,22217657
3/15/2012 12:47:19,0015,22230957
3/14/2012 14:07:18,0015,30034847
3/15/2012 12:46:57,0015,30042238
2/3/2012 15:08:53,0015,30080352
2/3/2012 15:08:28,0015,30080410
1/27/2012 15:16:13,0015,30080584
3/5/2012 10:40:06,0015,30084560
3/9/2012 15:11:27,0015,30099816
3/5/2012 10:39:53,0015,30120950
2/1/2012 13:59:32,0015,30122535
2/24/2012 15:19:13,0015,30124044
3/15/2012 12:46:45,0015,30124119
1/27/2012 15:20:08,0015,30132849
3/16/2012 14:06:53,0015,30138317
3/15/2012 12:47:09,0015,22230957
3/2/2012 15:09:32,0015,30134613
2/24/2012 15:08:06,0016,22230254
3/2/2012 15:03:20,0016,22231013
2/17/2012 15:20:30,0016,30022446
2/17/2012 15:16:08,0016,30031819
2/17/2012 15:20:23,0016,30065833
2/3/2012 15:18:32,0016,30075857
3/13/2012 11:50:12,0016,30076319
2/3/2012 15:18:18,0016,30087381
3/9/2012 15:13:08,0016,30087753
2/13/2012 10:48:33,0016,30106199
3/2/2012 15:03:03,0016,30108468
1/27/2012 15:23:37,0016,30112742
1/27/2012 15:23:44,0016,30113278
2/14/2012 10:47:25,0016,30113294
1/27/2012 15:23:52,0016,30113393
2/17/2012 15:16:17,0016,30116859
2/13/2012 10:48:15,0016,30117212
3/13/2012 11:50:05,0016,30119580
2/3/2012 15:10:13,0016,30127435
3/5/2012 10:17:27,0016,30134670
3/5/2012 10:17:41,0016,30134670
3/16/2012 14:39:30,0016,30138523
2/24/2012 15:18:44,0017,19874767
2/16/2012 13:42:04,0017,30025811
3/16/2012 14:18:32,0017,30059653
3/16/2012 14:18:23,0017,30073316
2/10/2012 15:23:01,0017,30077630
1/26/2012 13:59:18,0017,30080659
1/26/2012 13:59:42,0017,30080659
2/17/2012 15:17:38,0017,30082747
