checked_out_on,library_card,accession
4/25/2012 12:00:39,0022,30009401
4/25/2012 12:00:58,0022,30010698
4/25/2012 12:25:17,0130,30062921
4/25/2012 12:36:40,0083,22224711
4/25/2012 12:36:56,0083,30042667
4/25/2012 12:37:40,0083,30015762
4/25/2012 12:37:53,0051,30083539
4/25/2012 12:41:47,0005,30116545
4/25/2012 12:42:52,0005,30082648
4/25/2012 12:43:37,0005,22231096
4/25/2012 12:47:38,0072,30090252
4/25/2012 12:47:55,0107,30110662
4/25/2012 12:48:05,0107,30077838
4/25/2012 12:48:25,0107,30138879
4/25/2012 12:48:57,0107,30063036
4/25/2012 12:49:13,0107,30118897
4/25/2012 13:00:26,0041,22217954
4/25/2012 13:03:21,0022,30135677
4/25/2012 13:03:53,0022,30131320
4/25/2012 13:07:29,0097,30020911
4/25/2012 13:21:46,0151,30133516
4/25/2012 13:31:17,0175,30129928
4/25/2012 13:32:36,0169,30058804
4/25/2012 13:41:52,0173,30083513
4/25/2012 13:54:02,0181,30025621
4/25/2012 14:34:26,0024,30122543
4/25/2012 14:36:01,0024,19886753
4/25/2012 14:36:32,0003,30105860
4/26/2012 8:47:21,0185,30040083
4/26/2012 8:47:26,0185,30040083
4/26/2012 8:47:50,0185,30041024
4/26/2012 10:32:55,0196,30073662
4/26/2012 11:09:28,0010,30024251
4/26/2012 11:09:35,0010,30024251
4/26/2012 11:11:32,0010,30128953
4/26/2012 11:11:43,0010,30129019
4/26/2012 11:11:51,0010,30129076
4/26/2012 11:12:40,0027,30118855
4/26/2012 11:13:43,0049,30125819
4/26/2012 11:15:46,0027,30139307
4/26/2012 11:17:15,0050,30129829
4/26/2012 11:17:35,0046,30113591
4/26/2012 11:17:48,0046,30051148
4/26/2012 11:18:23,0009,30065460
4/26/2012 11:18:36,0029,30126569
4/26/2012 11:37:36,0128,30113179
4/26/2012 11:38:56,0008,30111157
4/26/2012 12:40:57,0216,30068225
4/26/2012 12:41:18,0216,30068456
4/26/2012 12:41:24,0216,30068340
4/26/2012 12:41:29,0216,30088934
4/26/2012 12:42:32,0095,30123483
4/26/2012 12:43:23,0095,30123483
4/26/2012 12:43:31,0095,30126031
4/26/2012 12:46:26,0052,30124960
4/26/2012 12:48:25,0052,30135644
4/26/2012 12:55:07,0026,30001572
4/26/2012 12:56:24,0023,30138465
4/26/2012 12:56:36,0023,30111512
4/26/2012 12:57:00,0026,30001572
4/26/2012 12:57:10,0039,30077630
4/26/2012 12:57:56,0042,30139570
4/26/2012 13:04:18,0039,30035471
4/26/2012 13:04:56,0227,18995126
4/26/2012 13:08:04,0169,30055107
4/26/2012 13:08:25,0169,30051940
4/26/2012 13:12:51,0185,30091508
4/26/2012 14:03:37, 0166,30100408
4/26/2012 14:05:59,0153,30118178
4/26/2012 14:09:40,0141,30123996
4/26/2012 14:09:52,0123,30115406
4/26/2012 14:45:23,0185,19881002
4/26/2012 14:45:45,0185,19882380
4/26/2012 14:45:57,0185,22224745
4/27/2012 10:29:41, 0054,20831251
4/27/2012 10:29:48, 0054,20831251
4/27/2012 10:29:48, 0054,30045876
4/27/2012 13:41:16,  0206,30117089
4/27/2012 13:41:23,  0206,30117089
4/27/2012 14:08:00,0036,19884683
4/27/2012 14:08:23,0036,22218267
4/27/2012 14:08:37,0036,30087571
4/27/2012 14:08:48,0036,30003479
4/27/2012 14:08:58,0036,30031652
4/27/2012 14:09:11,0036,19885235
4/27/2012 14:09:26,0036,30076467
4/27/2012 14:09:33,0036,30079990
4/27/2012 14:13:26,0016,30059497
4/27/2012 14:13:32,0016,30059497
4/27/2012 14:15:16,0013,30071070
4/27/2012 14:18:08,0013,30029318
4/27/2012 14:18:29,0013,30018949
4/27/2012 14:18:56,0013,30011654
4/27/2012 14:21:14,0053,30133599
4/27/2012 14:21:38,0052,30032411
4/27/2012 14:22:20,0017,30055719
4/27/2012 14:22:45,0017,30133425
4/27/2012 14:23:05,0017,30036701
4/27/2012 14:23:20,0017,19873314
4/27/2012 14:23:35,0017,30002869
4/27/2012 14:24:10,0038,30039523
4/27/2012 14:24:23,0038,30022958
4/27/2012 14:24:54,0034,30015598
4/27/2012 14:25:13,0051,30140255
4/27/2012 14:25:27,0051,30138143
4/27/2012 14:25:35,0051,30114987
4/27/2012 14:25:47,0015,30122469
4/27/2012 14:25:54,0015,30031868
4/30/2012 12:14:10,0164,30139570
4/30/2012 12:29:27,0066,30134381
4/30/2012 12:39:13,0040,30072953
4/30/2012 12:40:16,0087,30131544
4/30/2012 12:48:20,0003,18999169
4/30/2012 12:49:47,0001,30133151
4/30/2012 12:50:00,0001,30135958
4/30/2012 12:50:11,0001,30133565
4/30/2012 12:50:22,0001,30043764
4/30/2012 12:50:37,0001,30124945
4/30/2012 12:50:48,0001,30066138
4/30/2012 12:52:23,0070,30131718
4/30/2012 12:54:09,0001,22230957
4/30/2012 12:57:48,0040,30138036
4/30/2012 12:58:35,0090,30063028
4/30/2012 12:59:17,0228,30139331
4/30/2012 13:03:10,0068,30117790
4/30/2012 13:15:58,0117,30133037
4/30/2012 13:17:47,0038,22218374
4/30/2012 13:18:09,0038,22218374
4/30/2012 13:27:33,0051,18992677
4/30/2012 13:28:38,0051,18992677
4/30/2012 14:11:29,0061,30055461
4/30/2012 14:11:59,0103,30140214
