timestamp,library_card,accession
4/24/12 14:46,142,30138861
4/10/12 14:12,128,30127443
4/3/12 14:00,128,30122410
4/12/12 11:16,29,30049456
4/4/12 13:24,145,30035364
4/4/12 13:24,145,30035364
4/18/12 12:49,25,30003511
4/13/12 14:16,38,30003297
4/12/12 12:53,109,30000673
4/12/12 13:24,161,30059489
4/16/12 13:02,24,9.78069E+12
4/3/12 10:01,227,9.78055E+12
4/10/12 13:08,70,9.78038E+12
4/13/12 14:22,34,76783002753
4/12/12 13:27,130,30136576
4/17/12 11:29,219,30140370
4/24/12 14:37,169,30140099
4/18/12 13:57,163,30139968
4/18/12 12:40,108,30139901
4/18/12 12:55,70,30139844
4/19/12 12:43,74,30139844
4/17/12 13:24,95,30139786
4/19/12 12:44,23,30139729
4/10/12 14:29,151,30139695
4/10/12 14:29,151,30139695
4/3/12 12:21,52,30139661
4/12/12 12:39,54,30139661
4/18/12 12:58,71,30139653
4/11/12 9:29,103,30139646
4/6/12 8:32,227,30139604
4/6/12 8:32,227,30139604
4/16/12 14:19,80,30139596
4/17/12 11:29,213,30139588
4/24/12 12:50,72,30139539
4/12/12 12:56,111,30139539
4/12/12 12:46,112,30139513
4/12/12 11:09,7,30139505
4/3/12 12:45,2,30139497
4/11/12 9:15,2,30139398
4/18/12 14:06,144,30139281
4/18/12 10:07,184,30139224
4/19/12 11:14,50,30139182
4/5/12 11:17,9,30139133
4/3/12 13:01,21,30139125
4/12/12 11:15,47,30139117
4/4/12 13:13,75,30139067
4/11/12 9:13,62,30139026
4/3/12 13:55,127,30139000
4/11/12 8:40,2,30138994
4/24/12 14:14,175,30138937
4/10/12 10:35,66,30138903
4/10/12 10:35,66,30138903
4/23/12 12:39,110,30138903
4/23/12 12:40,110,30138903
4/23/12 12:40,110,30138903
4/10/12 8:14,213,30138887
4/12/12 14:04,139,30138812
4/3/12 14:11,143,30138804
4/6/12 14:17,20,30138747
4/3/12 13:01,21,30138705
4/3/12 14:12,154,30138689
4/9/12 14:47,103,30138630
4/9/12 14:19,102,30138556
4/12/12 11:05,9,30138549
4/18/12 14:03,129,30138499
4/10/12 14:04,206,30138465
4/24/12 8:13,150,30138416
4/24/12 8:13,150,30138416
4/24/12 8:13,150,30138416
4/5/12 11:17,28,30138390
4/17/12 11:57,43,30138366
