Timestamp,accession,dewey,cutter,copy,last,first,middle,title,subtitle,series,number,format,isbn,lccn,publisher,place,copyright,illustrated,type,pages,contributor1,contributor2,contributor3,subject1,subject2,subject3,subject4,subject5,subject6,subject7,subject8,Description (200 char max),collection,price,source,awards_publicity
4/25/2012 11:56:30,30136352,E371.1,EGA,,Egan,Kieran,,An imaginative approach to teaching,,,,hdbk,0-7879-7157-X,2004020703,Jossey-Bass,"San Francisco, CA",c2005,unillus,,251p,,,,Teaching,Creative thinking--Study and teaching,Imagination in children,,,,,,"Egan shows how we can transform K - 12 classrooms & help students grow in  knowledge & creativity, beginning with pre-literacy & ending with the capacity for complex, abstract thinking.",AP,$63,P,
4/25/2012 12:12:17,30135719,E621.312,KAM,c.1,Kamkwamba,William,,The boy who harnessed the wind,Creating currents of electricity and hope,,,pbk,978-0-06-173033-7,,Harper Perennial,"New York, NY,",c2009,illus,photographs,290p,"Co-author--Mealer, Bryan",,,Windmills--Malawi,"Kamkwamba, William, 1987-",Inventors--Malawi,Water supply--Rural--Malawi,Rural electrification--Malawi,Electric power production--Malawi,Malawi--Rural conditions,,"An enterprising teenager in Malawi builds a windmill from scraps he finds around his village and brings electricity, and a future, to his family.",AP,$15,P,
4/25/2012 12:16:16,30135651,E621.312,KAM,c.2,Kamkwamba,William,,The boy who harnessed the wind,Creating currents of electricity and hope,,,pbk,978-0-06-173033-7,,Harper Perennial,"New York, NY,",c2009,illus,photographs,290p.,"Co-author--Mealer, Bryan",,,Windmills--Malawi,"Kamkwamba, William, 1987-",Inventors--Malawi,Water supply--Rural--Malawi,Rural electrification--Malawi,Electric power production--Malawi,Malawi--Rural conditions,,"An enterprising teenager in Malawi builds a windmill from scraps he finds around his village and brings electricity, and a future, to his family.",AP,$15,P,
4/25/2012 14:28:48,30138382,E612.82,RES,,Restak,Richard,,The playful brain,The surprising science of how puzzles improve your mind,,,hdbk,978-1-59448-777-4,2010024140,Penguin Group,"New York, NY,",c2010,illus,photographs,294p,"Co-author--Kim, Scott",,,Cognitive neuroscience,Puzzles,"Thought and thinking--Problems, exercises, etc.",,,,,,"A neuroscientist & a puzzle designer team up to reveal how solving puzzles improves brain function, giving readers the chance to work puzzles while learning how to boost the brain.",AP,$27,P,
4/26/2012 11:21:39,30140156,TR,WIL,,Willems,Mo,,I love my new toy!,,An Elephant & Piggie Book,,hdbk,978-142310961-7,,Hyperion Books,"New York, NY,",c2008,illus,,57p.,,,,Friendship--Ficiton,Emotions--Fiction,Elephants--Fiction,Swine--Fiction,,,,,"When Elephant accidentally breaks Piggie's new toy, they both experience intense feelings before coming to realize how important their friendship is.",L,$9,G,
4/26/2012 11:28:41,30136246,P,MAR,c.2,Martin,Jacqueline,Briggs,Snowflake Bentley,,,,hdbk,0-395-86162-4,97-12458,Houghton Mifflin,"Boston, MA,",c1998,illlus,,unp,"Illustrator--Azarian, Mary",,,Snowflakes,Nature photography,Meteorologists--United States--Biography,Photographers--United States--Biography,"Bentley, W.A. (Wilson Alwyn), 1865-1931",,,,A biography of a self-taught scientist who photographed thousands of individual snowflakes in order to study their unique formations.  Also cataloged as: 551.57 MAR,L,$12,G,
4/26/2012 12:16:03,30136303,P,VAN,c.2,Van Leeuwen,Jean,,Going west,,,,hdbk,0-8037-1027-5,90-20694,Penguin Group,"New York, NY,",c1992,illus,,unp,"Illustrator--Allen, Thomas B",,,Frontier and pioneer life--Fiction,Families--Fiction,,,,,,,"Follows a family's emigration by prairie schooner from the East, across the plains to Kansas.",L,$10,G,
4/26/2012 12:23:39,30139745,398.2,BAR,,Casey,Dawn,,The barefoot book of Earth tales,,,,hdbk,978-1-84686-224-3,2008028044,Barefoot Books,"Cambridge, MA,",c2009,illus,,95p.,"Illustrator--Wilson, Anne",,,Tales,Ecology--Folklore,,,,,,,"7 tales from around the world express the belief that the Earth & living things are sacred & that we must care for our planet. Includes an introduction, ""eco-activities"" & bibliographical references.",L,$8,G,
4/26/2012 12:30:14,30140396,P,WIE,,Wiesner,David,,Sector 7,,,,hdbk,0-395-74656-6,96-40343,Houghton Mifflin Company,"New York, NY,",c1999,illus,,unp,,,,Clouds--Fiction,"Empire State Building (New York, N.Y.)--Fiction",Stories without words--Fiction,,,,,,"While on a school trip to the Empire State Building, a boy is taken by a friendly cloud to visit Sector 7, where he discovers how clouds are shaped and channeled throughout the country.",L,$16,G,Caldecott Honor Book
4/26/2012 12:37:17,30140339,599.75,WAL,,Walker,Sarah,,Big Cats,Open your eyes to a world of discovery,Dorling Kindersley Eye Wonder,,hdbk,0-7894-8548-6,,DK Publishing,"New York, NY,",c2002,illus,photographs,48p.,,,,Big cats,Wild cats,,,,,,,"A simple presentation of the physical characteristics, habitat, & life cycle of such big cats as the leopard, tiger & puma.  Includes contents & index.",L,$3,G,
4/26/2012 12:44:04,30140271,P,LAR,,LaRochelle,David,,The best pet of all,,,,hdbk,0-525-47129-4,,Penguin Group,"New York, NY,",c2004,illus,,unp,"Illustrator--Wakiyama, Hanako",,,Dogs--Fiction,Dragons--Fiction,,,,,,,A young boy enlists the help of a dragon to persuade his mother to let him have a dog as a pet.,L,$17,G,
4/26/2012 13:15:45,30140214,597,TAI,,Tait,Noel,,"The encylopedia of reptiles, amphibians & invertebrates",,A Complete Visual Guide,,hdbk,1-740-89353-0,,Fog City Press,"San Francisco, CA",c2006,illus,photographs,208p.,"Added Author--Vogt, Richard C","Added Author--Dinglel, Hugh",,Reptiles,Amphibians,Invertebrates,Insects,,,,,"A guide to many different types of reptiles, amphibians & invertebrates.",L,$8,G,
4/27/2012 12:59:40,30140297,940.1,CAN,,Cantor,Norman,F,Medieval Reader:,"First-hand accounts of the Middle Ages including letters, essays, state and church documents, poetry and ballads",,,pbk,0-06-272055-4,94-1981,HarperCollins,"New York, NY,",c1994,illus,,368p.,,,,Middle Ages--History--Sources,,,,,,,,"100 primary sources from the 4th to the 16th cent, revealing the medieval world in its diversity, culture, & contributions made to the world.  Includes bibliographical references & index.",L,$21,G,
4/27/2012 13:10:32,30139893,935,KRA,,Kramer,Samuel,Noah,"The Sumerians:  Their history, culture, and character",,,,pbk,0-226-45238-7,63-11398,The University of Chicago Press,Chicago. IL,c1963,illus,photographs,355p.,,,,Sumerians,Sumer,,,,,,,"Outlines the history & legacy of the Sumerian civilization:  describes cities, religion, literature, education, science, & social structure.  Has bibliographical references & index.",L,$16,G,
4/27/2012 13:18:41,30140354,973,HAK,c.2,Hakim,Joy,,A history of US,From colonies to country,A History Of Us,Book 3,pbk,0-19-507750-4,93-15818,Oxford University Press,"New York, NY,",c1993,illus,,192p.,,,,"United States--History--Colonial period, ca. 1600-1775","United States--History--Revolution, 1775-1783",,,,,,,Covers American history from the French and Indian War to the Constitutional Convention.   Includes bibliographical references & index.  Book 3 in the series.,L,$11,G,
4/27/2012 13:24:32,30140313,921,EIN,,Santrey,Laurence,,Young Albert Einstein,,,,pbk,0-8167-1778-8,89-33940,Troll Associates,"Mahwah, NJ,",c1990,illus,,48p.,"Illustrator--Beier, Ellen",,,"Einstein, Albert, 1879-1955",Physicists--Biography,"Einstein, Albert, 1879-1955--Childhood and youth",,,,,,"Examines the life of the physicist whose work revolutionized scientific thinking, with an emphasis on his early years.",L,$5,G,
4/27/2012 13:35:36,30134910,921,GAR,,Lawler,Mary,,Marcus Garvey,Black nationalist leader,Black Americans Of Achievement,,pbk,0-7910-0203-9,87-14593,Main Line Book Co,Philadelphia,c1988,illus,photographs,110p.,"Introduction--King, Coretta Scott",,,"Garvey, Marcus, 1887-1940",Intellectuals--United States--Biography,African Americans--Biography,,,,,,Marcus Garvey was a controversial & charismatic leader of the Back to Africa movement in the early 1900s. Includes bibliographical references & index.,L,$6,P,
4/27/2012 13:59:25,30134852,921,ROB,,Scott,Richard,,Jackie Robinson,Baseball great,Black Americans Of Achievement,,pbk,0-7910-0200-4,87-745,Main Line Book Co,"Philadelphia, PA",c1987,illus,photographs,110p.,"Introduction--King, Coretta Scott",,,"Robinson, Jackie, 1919-1972",Baseball players--United States--Biography,African Americans--Biography,,,,,,"A biography of Jackie Robinson, African American baseball legend & eloquent spokesman for the NAACP.  Includes bibliographical references & index.",L,$6,P,
4/27/2012 14:08:02,30135271,921,TUB,,Allen,Thomas,B.,"Harriet Tubman, secret agent",How daring slaves and free blacks spied for the union during the civil war,,,hdbk,0-7922-7889-5,2005030927,National Geographic Society,"Washington, D.C.",c2006,illus,,191p.,"Illustrator--Bauer, Carla",,,"Tubman, Harriet, 1820?-1913",Slaves--United States--Biography,African American women--Biography,Underground railroad,,,,,"A biography of Harriet Tubman based on military & intelligence archives, diaries, letters &  memoirs from ex-slaves to bring the facts to life.  Includes bibliographical references & index.",L,$17,P,
4/27/2012 14:30:51,30140057,507.8,VEC,,Vecchione,Glen,,100 amazing make-it-yourself science fair projects,,,,pbk,0-590-00061-6,,Scholastic,"New York, NY,",c1994,illus,,224p.,,,,Science Projects,Science--Experiments--Methodology,,,,,,,100 science experiments to try using everyday materials with detailed instructions and diagrams.  Includes index.,L,$8,G,
4/27/2012 14:39:21,30140008,597,LAM,,Lamar,William,W.,Reptiles & Amphibians,,The World's Most Spectacular,,pbk,1-884942-06-7,96-060955,World Publications,"Tampa, Florida,",c1997,illus,photographs,208p.,"Photographer--Carmichael, Pete","Photographer--Shumway, Gail",,Reptiles,Amphibians,,,,,,,A photographic guide to many reptiles & amphibians.  Includes contents.,L,$19,G,
4/27/2012 15:19:32,30139992,921,KIN,,Pastan,Amy,,"Martin Luther King, Jr.",A photographic story of a life,DK Biography,,pbk,978-0-7566-0342-7,2004007983,DK Publishing,"New York, NY,",c2004,illus,photographs,127p.,,,,"King, Martin Luther Jr., 1929-1968",African Americans Biography,Civil Rights Workers--United States--Biography,Baptists--United States--Clergy--Biography,African Americans--Civil Rights--United States--History,,,,"A biography of Martin Luther King, Jr; a believer in non-violence &  Civil Rights leader.   Includes bibliographical references & index.",L,$4,G,
4/30/2012 12:29:29,30139042,F,RAW,,Rawlings, Majorie,Kinnan,The secret river,,,,hdbk,978-1-4169-1179-1,2007033292,Simon & Schuster,"New York, NY,","c1955, 1983",illus,,unp,"Illustrator--Dillon, Diane","Illustrator--Dillon, Leo",,Fishing--Fiction,Hunger--Fiction,Forests and forestry--Fiction,Dogs--Fiction,Forest animals--Fiction,Florida--Fiction,,,"Young Calpurnia follows her nose to a secret river in a Florida forest, where she catches fresh fish to feed her hungry neighbors, after feeding the forest creatures she meets on the way home.",L,$9,P,
4/30/2012 12:36:58,30135057,921,ALE,,Demi,.,,Alexander the great,,,,hdbk,978-0-7614-5700-8,2009043636,Marshall Cavendish ,"White Plains, NY<",c2010,illus,,59p.,,,,"Alexander, the Great, 356-323 B.C.","Greece--History--Macedonian Expansion, 359-323 B.C.",Generals--Greece--Biography,Greece--Kiings and rulers--Biography,,,,,Traces the life of the warrior king of Macedonia who conquered and united the known world of his time.,L,$14,P,
4/30/2012 13:32:15,30136428,P,DEB,,De Brunhoff,Jean,,"The story of Babar, the little elephant",,Babar the Elephant,,hdbk,0-394-80575-5,63-5119,Random House,"New York, NY,","c1933, 1961",illus,,48p.,,,,Babar (Fictitious character)--Fiction,Elephants--Fiction,,,,,,,"An orphaned baby elephant goes to live in the city with an old lady who gives him everything he wants, but he eventually returns to the forest where he is crowned king of the elephants",L,$5,G,
4/30/2012 13:46:37,30139471,F,MOR,,Morpurgo,Michael,,War horse,,,,pbk,978-0-439-79664-4,,Scholastic,"New York, NY,",c1982,unillus,,165p.,,,,Horses--Fiction,"World War, 1914-1918--Fiction",,,,,,,"Joey the horse recalls his experiences growing up on an English farm, his struggle for survival as a cavalry horse during World War I, and his reunion with his beloved master.",L,$7,P,
4/30/2012 13:58:32,30137616,910.92,ROS,,Ross,Stewart,,Into the unknown,,,,hdbk,978-0-7636-4948-7,2010038720,Candlewick Press,"Somerville, MA,",c2011,illus,,85p.,"Illustrator--Biesty, Stephen",,,Explorers,Discoveries in geography,Exploration,,,,,,"Ross examines 14 historical explorers who pieced together the picture of the world we have today. Book has masterful cross sections, storytelling, & sidebars with key concepts, places, & technology.",L,$10,P,
4/30/2012 14:09:55,30137863,574.55,JOH,,Johnson,Rebecca,L.,A walk in the prairie,,A Walk In The...,,pbk,1-57505-530-9,00-008252,Lerner Publishing Group,"Minneapolis, MN",c2001,illus,,48p.,"Illustrator--Saroff, Phyllis V",,,Prairie ecology,Prairies,Ecology,,,,,,"Describes the climate, soil, plants & animals of the N. American prairie & the ways in which the plants & animals depend on each other & their environment to survive.  Has bibliographical references.",L,$6,P,
